S:['b9', 'm1', 'j1', 'p7', 'v5', 's5', 'a0', 't7', 'x1', 'r7', 'r2', 'c2', 'g1', 'q7', 'u8', 'w8', 'o8', 't5', 'j9', 'j8', 'c1', 'e0', 'd1', 'b7', 'l0', 'w0', 'k8', 'r9', 'i2', 'g5', 'c0', 'c6']
R:['i7', 'a9', 'j3', 'l2', 'q5', 'c2', 'o8', 'a0', 'j2', 'z1', 'e6', 'u2', 'h2', 'v4', 't7', 'o3', 'f0', 'r5', 'd5', 'x3', 'j7', 'o1', 'v6', 's9', 'f4', 'a8', 'm4', 'x7', 'm1', 'i8', 'h4', 'e4']
S:['x2', 'f9', 'e5', 'c5', 'v4', 'z3', 'q7', 'z0', 'r2', 'n9', 'f3', 'x3', 'a6', 's0', 'k3', 'o3', 'p8', 'b5', 'n8', 'e6', 'm8', 's5', 'v9', 'p1', 'i5', 'b8', 'k1', 'u7', 'd5', 'g4', 'z6', 'v7']
R:['w7', 't5', 'n1', 'm5', 'h1', 'l2', 'j7', 'm9', 'w6', 'b3', 'e2', 'q5', 'd2', 'v5', 't2', 's7', 'z5', 'r4', 'm1', 'l6', 't3', 'p5', 'v0', 'h0', 'i7', 'x3', 'x7', 'h7', 'p0', 'k6', 'o3', 'f8']
S:['g6', 'c4', 'f9', 'b0', 'b8', 'e3', 'q8', 'l6', 'e1', 'r6', 'u9', 'm7', 'y9', 'z4', 'l1', 'q2', 'v7', 'n6', 'x9', 'a6', 'l4', 'm5', 'h2', 'z9', 'b1', 'j3', 'c8', 'w6', 'x1', 'b9', 'f1', 's7']
R:['a1', 'e1', 'p5', 'w2', 'g1', 'y9', 'h0', 'k7', 'i0', 'l7', 'd5', 'n3', 'w5', 'x3', 'o0', 'p8', 'v7', 'b8', 'd2', 'e5', 'n5', 't6', 'i1', 'p9', 'g4', 'b2', 'r8', 's5', 'k4', 'd3', 'o2', 'w7']
S:['s5', 'a2', 'q8', 'a0', 'f2', 'p4', 'c6', 's6', 'b1', 'i2', 'y9', 'v8', 'h7', 'f4', 'k1', 'y8', 'p0', 'p2', 'y5', 'u6', 'm0', 'd1', 'v7', 'm6', 'f3', 'm8', 'm7', 'e1', 's8', 'a8', 'p5', 'd8']
R:['d0', 'l2', 'z6', 'a5', 'r4', 'a8', 'g5', 'v7', 'k6', 'o2', 'x5', 'z4', 'r8', 'k9', 'o3', 'r7', 'y2', 'n8', 'q6', 'u8', 'w0', 'l8', 'x7', 'w7', 'n7', 't5', 'a9', 'w6', 'w2', 'l4', 'r0', 'm5']
S:['d2', 's7', 'l1', 'w3', 'k3', 'f2', 'j7', 'a0', 'n0', 'p2', 'z6', 't4', 'e3', 'j6', 'z2', 'g8', 'f0', 'k7', 'm3', 'p5', 'n2', 'o7', 'i6', 'b8', 'j4', 'w1', 'o0', 'y7', 'h9', 'j1', 'd5', 'q7']
R:['s5', 'c2', 'c7', 'd6', 'o3', 'g9', 'v8', 'l4', 'a2', 'e4', 'k9', 'q5', 't3', 'z8', 'l9', 'm0', 's3', 'q3', 'k1', 'p5', 's7', 'd5', 'e2', 's9', 't2', 'n1', 'd9', 'b7', 'x7', 'k8', 'f4', 'x2']
S:['h1', 'm7', 'k8', 'u7', 'm3', 'l4', 'z2', 'm9', 'k6', 'p3', 'e7', 'e6', 'x2', 'y1', 'j5', 'u4', 'w9', 'i1', 'r9', 's0', 'v8', 'b9', 'q4', 'y0', 'a7', 'k0', 'p7', 'u6', 'g9', 'b2', 'j7', 'b6']
R:['w3', 'h2', 'v6', 'x9', 'v7', 'l6', 'p9', 'k7', 'n9', 't5', 'j7', 's9', 'e4', 'r5', 'h4', 'r7', 'v2', 'j3', 'e5', 'r3', 'd9', 'w4', 'm9', 'x6', 'h0', 't3', 'w2', 'd2', 's7', 'j2', 'k3', 'i5']
S:['a5', 'j2', 'v3', 'y4', 'k8', 'u1', 'f6', 'w9', 'b9', 'v5', 'f8', 'd5', 'k6', 'p0', 'e2', 'r6', 'm2', 'k9', 'q4', 'h7', 'b3', 'f0', 'r0', 'x3', 'k5', 'b0', 'y6', 'p5', 'm9', 'w3', 'c5', 'r7']
R:['v2', 't7', 'm9', 'j5', 'e4', 'h2', 'n9', 'n6', 'k3', 'j2', 'u8', 'v7', 'g8', 'c9', 'b2', 'b7', 'w6', 'h1', 'l6', 'o8', 'i9', 'p4', 'x3', 'p9', 'd2', 's9', 's6', 'j3', 'c2', 'g0', 'h4', 'w8']
S:['k4', 'a4', 'q7', 'c6', 'p0', 'o4', 'q8', 'u3', 'f6', 't7', 'd8', 'c5', 'w6', 'l9', 'p2', 'm8', 'r3', 'h6', 'r2', 'a5', 'y9', 'x7', 'p9', 't8', 'k1', 'n8', 'o6', 'l2', 'b4', 'p5', 'h2', 's6']
R:['j4', 'i2', 'i1', 'e5', 'q5', 'v4', 'r0', 's9', 'w6', 'r3', 'w0', 'q8', 'k6', 'x7', 'n5', 'l8', 'w2', 'b3', 'h1', 'u5', 'w5', 't7', 'b7', 'q6', 'd2', 'u8', 'm1', 'f4', 'n9', 'k4', 'p9', 'e2']
S:['r6', 'd3', 'w8', 'x9', 'x6', 'f7', 'x4', 'a4', 'z0', 'r4', 'k8', 'n7', 'e8', 'q7', 'd1', 'm9', 'c7', 'p3', 'n3', 'f1', 'r5', 'n6', 'k7', 'v0', 'y4', 'k2', 'u9', 'f9', 'g6', 'v1', 'r9', 'h6']
R:['o3', 'z1', 'e1', 'a8', 'p9', 'e5', 'o8', 'u9', 'v7', 'k4', 'j3', 'r4', 'a9', 'a6', 'v5', 'w2', 't6', 'e9', 'i5', 'i8', 'z8', 'o7', 'p4', 's9', 'm3', 'm4', 'k9', 'v9', 'm1', 'w6', 'w8', 'd7']
